LinkID,RecID,q1c_relation,q1d_date,State,q2d_date,q2e_houseID,q2e_visitNo,q2e_tblRecord,q1_pumpGas,q2_spill,q3_sit,q4_open,q5_garage,q6_make,q6_model,q6_year,q7_clean,q8_start,q9_grill,q10_tobacco,q11_perfume,q12_airfreshner,q13_travel,q13_totalmins,q14_indoors,q14_totalmins,q15_vehicle,q15_totalmins,q16_swimming,q16_totalmins,q17_cleaning,q17_totalmins,q18_workshop,q18_totalmins,q19_windows,q19_totalmins,q20_bath,q20_totalmins,q21_shower,q21_totalmins,q22_shower,q22_totalmins,q23_markers,q23_totalmins,q24_incense,q24_totalmins,q25_centralair,q25_temperature,q25_type,q25_totalmins,q26_windowAC,q26_type,q26_totalmins,q26_rooms,q27_atticfan,q27_totalmins,q28_evapcooler,q28_totalmins,q29_fan,q29_totalmins,q30_windowfan,q30_totalmins,q31_exhaustfan,q31_totalmins,q32_woodstove,q32_totalmins,q32b_fumes,q32b_totalmins,q33_oilfurnace,q33_totalmins,q33b_fumes,q33b_totalmins,q34_keroseneheater,q34_totalmins,q34b_fumes,q34b_totalmins,q35_unventedgas,q35_totalmins,q35b_fumes,q35b_totalmins,q36_fireplace,q36_totalmins,q36b_fumes,q36b_totalmins,q37_oven,q37_totalmins,q38_centralheat,q38_totalmins,q39_elecprecip,q39_totalmins,q40_humidifier,q40_totalmins,q41_otherair,q41a_HEPA,q41a_totalmins,q41b_odorreducer,q41b_totalmins,q41c_other,q41c_desc,q41c_totalmins,q42_dishwasher,q42_totalmins,q43_clotheswasher,q43_totalmins,q44_clothesdryer,q44_totalmins,q45_drycleaning,q45_totalmins,q46_wax,q46_totalmins,q47_polishremover,q47_totalmins,q48_paints,q48b_you,q48b_totalmins,q48c_other,q48c_totalmins,q49_glue,q49b_you,q49b_totalmins,q49c_other,q49c_totalmins,q50_gasmower,q50b_you,q50b_totalmins,q50c_other,q50c_totalmins,q51_chainsaw,q51b_you,q51b_totalmins,q51c_other,q51c_totalmins,q52_sander,q52b_you,q52b_totalmins,q52c_other,q52c_totalmins,q53_pesticide,q53b_you,q53b_totalmins,q53c_other,q53c_totalmins,q54_vacuuming,q54b_you,q54b_totalmins,q54c_other,q54c_totalmins,q55_sweeping,q55b_you,q55b_totalmins,q55c_other,q55c_totalmins,q56_dusting,q56b_you,q56b_totalmins,q56c_other,q56c_totalmins,q57_cleaning,q57_list,q57b_you,q57b_totalmins,q57c_other,q57c_totalmins,q58_gardening,q58b_you,q58b_totalmins,q58c_other,q58c_totalmins,q59_woodworking,q59b_you,q59b_totalmins,q59c_other,q59c_totalmins,q60_welding,q60b_you,q60b_totalmins,q60c_other,q60c_totalmins,q61_cookinginside,q61b_you,q61b_totalmins,q61c_other,q61c_totalmins,q61d_exhaustfan,q61d_totalmins,q62_cookingoutside,q62b_you,q62b_totalmins,q62c_other,q62c_totalmins,q62_distance,q63_parkvehicle,q63_totalmins,q63b_detached,q63b_totalmins,q63c_carport,q63c_totalmins,q64_startvehicle,q64_totalmins,q64b_detached,q64b_totalmins,q64c_carport,q64c_totalmins,q65_dieselparked,q66_neardiesel
CA026150,94,MOTHER,0000-00-00,CA,0000-00-00,CA736,1,94,N,N,N,N,N,FORD,EXPEDITION,1997,N,N,N,N,N,N,N,0,N,0,N,0,N,0,N,0,N,0,Y,240,N,0,Y,30,Y,60,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,1200,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,60,Y,120,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,0,Y,5,Y,N,0,Y,5,Y,NA,N,0,Y,5,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,20,N,0,N,N,0,N,0,0,N,0,N,0,Y,0,N,0,N,0,Y,0,Y,Y
CA031150,95,"MOTHER AND FATH",0000-00-00,CA,0000-00-00,CA741,1,95,N,N,N,N,N,NA,NA,0,N,N,N,N,N,N,Y,20,N,0,N,0,N,0,N,0,N,0,Y,30,Y,30,N,0,Y,30,Y,60,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,30,Y,60,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,10,N,N,0,N,0,N,N,0,N,0,N,NA,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,10,N,0,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,N
CA034150,151,NA,0000-00-00,CA,0000-00-00,CA744,2,151,N,N,N,N,N,NA,NA,0,N,N,N,N,N,N,Y,20,N,0,N,0,N,0,N,0,N,0,Y,840,N,0,Y,25,Y,115,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,Y,10,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,15,Y,N,0,Y,5,N,N,0,N,0,Y,WINDEX,N,0,Y,5,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,120,Y,30,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,Y,0,N,N
CA051150,79,FATHER,0000-00-00,CA,0000-00-00,CA761,1,79,Y,N,N,Y,N,TOYOTA,4RUNNER,1990,N,N,N,N,Y,Y,Y,150,N,0,Y,5,N,0,Y,40,N,0,Y,1110,Y,30,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,Y,70,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,90,Y,135,N,0,N,0,N,0,N,N,0,Y,0,Y,N,0,Y,5,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,15,N,0,Y,Y,15,N,0,N,N,0,N,0,Y,"LYSOL,AJAX, WINDEX",Y,60,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,Y,0,N,0,N,0,Y,0,N,0,N,0,N,Y
CA052150,82,MOTHER,0000-00-00,CA,0000-00-00,CA762,1,82,Y,N,N,Y,N,DODGE,"RAM VAN",1989,N,N,N,N,Y,N,Y,72,N,0,N,0,N,0,N,0,N,0,Y,2880,N,0,Y,30,Y,90,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,Y,2880,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,45,Y,120,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,20,Y,N,0,Y,10,N,N,0,N,0,Y,"LYSOL KITCHEN CLEANER",N,0,Y,5,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,60,Y,30,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N
CA056150,122,MOTHER,0000-00-00,CA,0000-00-00,CA766,1,122,N,N,N,N,N,NA,NA,0,N,N,N,N,Y,N,N,0,N,0,N,0,N,0,N,0,N,0,Y,1200,N,0,Y,30,Y,60,N,0,N,0,N,0,N,0,Y,B,1080,"LIVINGROOM, ADU",N,0,N,0,Y,960,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,Y,25,Y,30,N,0,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,3,N,N,0,N,0,Y,N,0,Y,5,Y,Y,1,N,0,Y,"SHOWER POWER",N,0,Y,15,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,10,Y,10,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N
CA060150,108,FATHER,0000-00-00,CA,0000-00-00,CA770,1,108,N,N,N,N,N,NA,NA,0,N,N,N,N,N,N,Y,80,N,0,N,0,Y,90,N,0,N,0,Y,1320,N,0,Y,10,Y,80,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,Y,40,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,Y,60,Y,120,Y,180,N,0,N,0,N,0,Y,N,0,Y,1,N,N,0,N,0,Y,N,0,Y,10,Y,N,0,Y,10,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,60,Y,N,0,Y,15,Y,N,0,Y,15,N,NA,N,0,N,0,Y,N,0,Y,15,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,30,Y,40,N,N,0,N,0,0,N,0,Y,0,N,0,N,0,Y,0,N,0,N,Y
CA065150,105,NA,0000-00-00,CA,0000-00-00,CA775,1,105,Y,N,N,Y,N,FORD,TEMPO,1992,N,N,N,N,Y,Y,Y,15,N,0,N,0,N,0,N,0,N,0,Y,2880,N,0,Y,25,Y,60,Y,1,N,0,Y,79,D,480,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,60,N,0,N,0,N,0,N,0,Y,N,0,Y,240,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,30,N,N,0,N,0,Y,N,0,Y,30,N,NA,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,30,N,0,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N
CA077150,160,NA,0000-00-00,CA,0000-00-00,CA787,1,160,N,N,N,N,N,CHEVY,"ASTRO VAN",1986,N,N,N,N,N,N,Y,10,N,0,N,0,N,0,N,0,N,0,Y,720,N,0,Y,20,Y,65,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,Y,240,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,60,Y,90,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,10,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,NA,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,45,N,0,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N
CA012250,211,MOTHER,0000-00-00,CA,0000-00-00,CA822,2,211,N,N,N,N,N,SATURN,SL2,1993,N,N,N,N,N,Y,Y,210,N,0,N,0,N,0,N,0,N,0,Y,360,N,0,Y,30,Y,60,N,0,Y,20,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,NA,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,N,0,Y,0,N,0,N,0,Y,0,N,0,Y,Y
CA020250,99,FATHER,0000-00-00,CA,0000-00-00,CA830,2,99,N,N,N,N,N,NA,NA,0,N,Y,N,N,N,N,Y,60,N,0,N,0,N,0,N,0,N,0,Y,1440,N,0,Y,20,Y,60,Y,10,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,120,N,0,N,0,Y,240,N,0,N,0,N,N,0,N,0,N,NA,0,Y,20,Y,120,Y,240,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,NA,N,0,N,0,Y,N,0,Y,60,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N
CA022250,93,HOUSEMATE/BABYS,0000-00-00,CA,0000-00-00,CA832,2,93,N,N,N,N,N,CHRYSLER,"5TH AVENUE",1985,N,N,N,N,N,N,N,0,N,0,N,0,N,0,Y,1,N,0,Y,480,N,0,N,0,Y,20,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,Y,1320,Y,1320,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,40,N,N,0,N,0,Y,NA,N,0,Y,1,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,25,N,0,N,N,0,N,0,0,N,0,N,0,Y,0,N,0,N,0,Y,0,N,N
CA051250,181,NA,0000-00-00,CA,0000-00-00,CA861,2,181,N,N,N,N,N,TOYOTA,4RUNNER,1990,N,N,N,N,N,Y,Y,60,N,0,N,0,N,0,N,0,N,0,Y,240,N,0,Y,30,Y,120,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,Y,60,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,60,Y,60,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,NA,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,60,Y,60,N,N,0,N,0,0,Y,0,N,0,N,0,Y,0,N,0,N,0,Y,Y
CA052250,169,NA,0000-00-00,CA,0000-00-00,CA862,2,169,N,N,N,N,N,NA,NA,0,N,Y,N,N,N,N,Y,100,N,0,N,0,N,0,N,0,N,0,Y,1440,N,0,Y,30,Y,80,N,0,Y,240,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,360,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,20,Y,40,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,NA,N,0,Y,10,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,20,N,0,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N
CA060250,196,NA,0000-00-00,CA,0000-00-00,CA870,2,196,N,N,N,N,N,SATURN,SL2,1996,N,N,N,N,N,N,Y,75,N,0,N,0,N,0,N,0,N,0,Y,720,N,0,Y,15,Y,85,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,Y,90,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,60,Y,75,N,0,N,0,N,0,N,N,0,N,0,Y,N,0,Y,65,Y,N,0,Y,10,Y,N,0,Y,5,N,N,0,N,0,Y,N,0,Y,2,Y,N,0,Y,30,Y,N,0,Y,60,Y,N,0,Y,120,Y,WINDEX,N,0,Y,30,Y,N,0,Y,30,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,N,0,Y,0,N,0,N,0,Y,0,N,0,Y,Y
CA065250,177,NA,0000-00-00,CA,0000-00-00,CA875,2,177,N,N,N,N,N,NA,NA,0,N,N,N,N,Y,Y,Y,15,N,0,N,0,N,0,Y,120,N,0,Y,2880,N,0,Y,40,Y,75,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,60,N,0,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,25,N,0,N,N,0,N,0,N,N,0,N,0,Y,"BLEACH, PHOTO DEVELOPER",Y,120,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,N,0,N,0,Y,0,N,0,N,0,Y,0,N,N
CA077250,222,NA,0000-00-00,CA,0000-00-00,CA887,2,222,N,N,N,N,N,CHEVROLET,"ASTRO VAN",1986,N,N,N,N,N,Y,Y,30,N,0,N,0,N,0,N,0,N,0,Y,720,N,0,Y,30,Y,120,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,Y,115,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,60,Y,90,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,15,N,N,0,N,0,Y,TILEX,N,0,Y,15,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,55,Y,55,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,Y
TX101130,692,NA,2000-09-20,TX,2000-09-20,EX101,1,101,Y,N,N,N,N,NA,NA,0,N,N,N,N,N,N,N,0,N,0,N,0,N,0,Y,10,N,0,N,0,N,0,Y,20,Y,60,N,0,N,0,Y,75,C,2880,N,N,0,NA,N,0,N,0,Y,1440,N,0,Y,130,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,120,Y,120,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,5,N,0,Y,Y,15,N,0,N,NA,N,0,N,0,Y,Y,10,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,20,N,0,N,0,N,N,0,N,0,0,N,0,N,0,Y,2880,N,0,N,0,Y,5,N,N
TX102130,694,NA,2000-09-22,TX,2000-09-22,EX102,1,102,N,N,N,N,N,NA,NA,0,N,N,N,N,Y,N,N,0,N,0,N,0,N,0,Y,10,N,0,N,0,Y,20,N,0,Y,30,N,0,N,0,Y,70,C,2880,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,Y,30,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,5,N,0,N,N,0,N,0,Y,Y,10,N,0,N,N,0,N,0,Y,CHLOROX,Y,30,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N
TX103130,695,NA,2000-10-19,TX,2000-10-19,EX103,1,103,Y,N,N,N,N,NA,NA,0,N,N,N,N,N,N,Y,70,Y,60,N,0,N,0,Y,5,N,0,N,0,N,0,Y,40,Y,110,N,0,N,0,Y,60,E,2880,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,10,N,0,Y,PINAL,Y,5,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,N,0,N,0,Y,2880,N,0,N,0,Y,20,N,N
TX104130,701,NA,2000-09-28,TX,2000-09-28,EX104,1,104,N,N,N,N,N,NA,NA,0,N,N,N,N,N,N,N,0,N,0,N,0,N,0,Y,2,N,0,Y,1440,N,0,Y,15,Y,65,N,0,Y,2880,N,0,N,0,N,N,0,NA,N,0,N,0,Y,240,N,0,Y,180,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,90,N,0,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,5,Y,5,Y,Y,5,Y,5,Y,Y,1,N,0,Y,CHLOROX,Y,1,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,20,Y,25,N,0,N,N,0,N,0,0,N,0,N,0,Y,2880,N,0,N,0,Y,10,N,3
TX105130,709,NA,2000-09-28,TX,2000-09-28,EX105,1,105,N,N,N,N,N,NA,NA,0,N,N,N,N,N,N,Y,20,N,0,N,0,N,0,Y,15,N,0,Y,1440,N,0,Y,10,Y,80,N,0,Y,2880,N,0,N,0,N,N,0,NA,N,0,N,0,Y,240,N,0,Y,180,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,90,N,0,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,5,Y,5,Y,Y,5,Y,5,N,N,0,N,0,Y,"WINDEX, FURNITURE POLISH, SOLV",Y,360,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,20,Y,15,N,0,N,N,0,N,0,0,N,0,N,0,Y,2880,N,0,N,0,Y,10,N,N
TX106130,713,NA,2000-11-11,TX,2000-11-11,EX106,1,106,Y,N,N,N,N,NA,NA,0,N,N,N,N,N,N,Y,285,N,0,N,0,N,0,N,0,N,0,N,0,Y,10,Y,15,Y,60,Y,10,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,Y,2880,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,480,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,90,Y,120,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,NA,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,5,N,0,N,N,0,N,0,0,N,0,N,0,Y,1200,N,0,N,0,Y,5,N,N
TX101230,693,NA,2000-12-15,TX,2000-12-15,EX201,2,101,Y,N,N,N,N,NA,NA,0,N,N,N,N,Y,Y,Y,180,N,0,N,0,N,0,Y,20,N,0,N,0,N,0,Y,30,Y,165,N,0,Y,2400,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,Y,240,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,2880,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,120,Y,210,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,15,N,0,Y,Y,5,N,0,Y,Y,60,N,0,Y,PINOL,Y,10,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,N,0,N,0,Y,2400,N,0,N,0,Y,15,N,N
TX103230,698,NA,2001-01-31,TX,2001-01-31,EX203,2,103,N,N,N,N,N,NA,NA,0,N,N,N,N,N,N,Y,100,N,0,N,0,N,0,N,0,N,0,Y,600,N,0,Y,20,Y,20,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,60,Y,80,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,5,N,0,N,N,0,N,0,Y,PINAL,Y,5,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,N,0,N,0,Y,2880,N,0,N,0,Y,15,N,N
TX104230,705,NA,2000-12-17,TX,2000-12-17,EX204,2,104,N,N,N,N,N,NA,NA,0,N,N,N,N,Y,Y,N,0,N,0,N,0,N,0,Y,2,N,0,Y,15,N,0,Y,15,Y,65,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,120,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,120,N,0,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,10,Y,Y,10,N,0,Y,N,0,Y,10,Y,NA,N,0,Y,2,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,N,0,N,0,Y,2880,N,0,N,0,Y,10,N,N
